hierarchy1	hierarchy2	hierarchy3	hierarchy4	hierarchy5	hierarchy6
cluster1	37.21	21.71	34.11	6.98	0	0
cluster2	0	20	46.67	26.67	0	6.67
cluster3	40	0	30	20	10	0
cluster4	0	28.57	9.52	23.81	33.33	4.76
cluster5	42.86	25	28.57	3.57	0	0
cluster6	56.34	11.27	7.75	22.54	2.11	0
cluster7	0	2.22	22.22	62.22	11.11	2.22
cluster8	0	0	53.33	33.33	13.33	0
cluster9	53.03	3.03	19.7	18.18	6.06	0
cluster10	47.06	20.59	20.59	2.94	5.88	2.94
cluster11	0	25.76	54.55	10.61	4.55	4.55
cluster12	0	47.62	23.81	23.81	4.76	0
cluster13	0	0	100	0	0	0
cluster14	20	17.78	37.78	13.33	8.89	2.22
cluster15	0	22.22	55.56	22.22	0	0
cluster16	9.68	50.54	25.81	5.38	7.53	1.08
cluster17	47.62	33.33	14.29	4.76	0	0
cluster18	0	33.33	33.33	16.67	16.67	0
cluster19	34.88	0	16.28	32.56	11.63	4.65
cluster20	74.07	7.41	11.11	3.7	0	3.7
cluster21	67.86	3.57	21.43	7.14	0	0
cluster22	0	57.89	15.79	10.53	10.53	5.26
cluster23	82.86	5.71	7.14	1.43	1.43	1.43
cluster24	25	0	64.29	10.71	0	0
