Cluster1	Cluster2	Cluster3	Cluster4	Cluster5	Cluster6	Cluster7	Cluster8	Cluster9	Cluster10	Cluster11	Cluster12	Cluster13	Cluster14	Cluster15	Cluster16	Cluster17	Cluster18	Cluster19	Cluster20	Cluster21	Cluster22	Cluster23	Cluster24
Bacterial infection or mycosis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
Neoplasms	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	14	0	0	0	0	0	0	3	0
Musculoskeletal disease	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0
Digestive system disease	0	0	0	0	0	0	10	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Respiratory tract disease	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Nervous system disease	0	0	0	7	0	9	0	0	0	0	12	0	2	1	0	0	0	4	0	0	3	7	0	0
Eye diseases	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	1	1	0	0	0
Urologic and male genital diseases	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0
Female genital diseases and pregnancy complications	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	3	0
Cardiovascular disease	0	0	1	0	0	0	0	6	0	0	0	0	0	0	8	0	0	0	0	2	0	0	1	0
Hemic and lymphatic diseases	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7
Congenital abnormality	13	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Skin and connective tissue diseases	4	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	2	0	1	3	0	0	0	0
Nutritional and metabolic diseases	0	0	0	0	0	2	0	0	0	0	0	0	0	9	0	1	0	0	1	0	0	0	0	0
Endocrine system disease	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	0
Immune system diseases	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Pathological conditions, signs and symptoms	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
